[0.000000] [mapper_bare_metal/INFO] Process ID: 1192982, Thread ID: 1192995, Task ID: Task_12, Core ID: 27 => read: Task_0->Task_12, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193383, Thread ID: 1193395, Task ID: Task_11, Core ID: 26 => read: Task_0->Task_11, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193027, Thread ID: 1193040, Task ID: Task_11, Core ID: 26 => read: Task_0->Task_11, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193072, Thread ID: 1193085, Task ID: Task_11, Core ID: 26 => read: Task_0->Task_11, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193117, Thread ID: 1193130, Task ID: Task_11, Core ID: 26 => read: Task_0->Task_11, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193162, Thread ID: 1193173, Task ID: Task_10, Core ID: 25 => read: Task_0->Task_10, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193206, Thread ID: 1193218, Task ID: Task_11, Core ID: 26 => read: Task_0->Task_11, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193250, Thread ID: 1193262, Task ID: Task_11, Core ID: 26 => read: Task_0->Task_11, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193295, Thread ID: 1193307, Task ID: Task_11, Core ID: 26 => read: Task_0->Task_11, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193339, Thread ID: 1193351, Task ID: Task_11, Core ID: 26 => read: Task_0->Task_11, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193948, Thread ID: 1193959, Task ID: Task_10, Core ID: 25 => read: Task_0->Task_10, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193948, Thread ID: 1193958, Task ID: Task_9, Core ID: 24 => read: Task_0->Task_9, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193474, Thread ID: 1193485, Task ID: Task_9, Core ID: 24 => read: Task_0->Task_9, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193474, Thread ID: 1193486, Task ID: Task_10, Core ID: 25 => read: Task_0->Task_10, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193474, Thread ID: 1193487, Task ID: Task_11, Core ID: 26 => read: Task_0->Task_11, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193536, Thread ID: 1193547, Task ID: Task_9, Core ID: 24 => read: Task_0->Task_9, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193536, Thread ID: 1193549, Task ID: Task_11, Core ID: 26 => read: Task_0->Task_11, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193536, Thread ID: 1193548, Task ID: Task_10, Core ID: 25 => read: Task_0->Task_10, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193598, Thread ID: 1193610, Task ID: Task_11, Core ID: 26 => read: Task_0->Task_11, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193598, Thread ID: 1193608, Task ID: Task_9, Core ID: 24 => read: Task_0->Task_9, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193598, Thread ID: 1193609, Task ID: Task_10, Core ID: 25 => read: Task_0->Task_10, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193658, Thread ID: 1193670, Task ID: Task_11, Core ID: 26 => read: Task_0->Task_11, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193658, Thread ID: 1193668, Task ID: Task_9, Core ID: 24 => read: Task_0->Task_9, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193658, Thread ID: 1193669, Task ID: Task_10, Core ID: 25 => read: Task_0->Task_10, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193718, Thread ID: 1193729, Task ID: Task_9, Core ID: 24 => read: Task_0->Task_9, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193718, Thread ID: 1193731, Task ID: Task_11, Core ID: 26 => read: Task_0->Task_11, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193718, Thread ID: 1193730, Task ID: Task_10, Core ID: 25 => read: Task_0->Task_10, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193779, Thread ID: 1193789, Task ID: Task_9, Core ID: 24 => read: Task_0->Task_9, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193779, Thread ID: 1193791, Task ID: Task_11, Core ID: 26 => read: Task_0->Task_11, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193779, Thread ID: 1193790, Task ID: Task_10, Core ID: 25 => read: Task_0->Task_10, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193779, Thread ID: 1193811, Task ID: Task_31, Core ID: 29 => read: Task_0->Task_31, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193885, Thread ID: 1193896, Task ID: Task_9, Core ID: 24 => read: Task_0->Task_9, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193885, Thread ID: 1193898, Task ID: Task_11, Core ID: 26 => read: Task_0->Task_11, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 0 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1193885, Thread ID: 1193897, Task ID: Task_10, Core ID: 25 => read: Task_0->Task_10, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
[0.000000] [mapper_bare_metal/INFO] Process ID: 1194699, Thread ID: 1194711, Task ID: Task_11, Core ID: 26 => read: Task_0->Task_11, payload (bytes): 2000000000.000000, checksum: 0, numa_locality_before_read: 0, numa_locality_after_read: 1, data (pages) migration: yes
